id,title,year,source,name,platform,genre,mode,group,type,quote
1,SSIs Dark Sun Online: Crimson Sands,1997,http://www.gamasutra.com/view/feature/3235/postmortem_ssis_dark_sun_online_.php,Dark Sun Online,pc,rpg,online,production,technical,"We tried to make a DOS application running in a DOS window communicate to a Windows 3.1 TCP/IP stack. Instead, we should have simply ported DSO to a Win32 application and developed the game with the Windows 95 TCP/IP stack - as ended up being done months later"
2,SSIs Dark Sun Online: Crimson Sands,1997,http://www.gamasutra.com/view/feature/3235/postmortem_ssis_dark_sun_online_.php,Dark Sun Online,pc,rpg,online,production,testing,"Not enough test time was allocated for debugging such a large-scale online game. This forced us to move extremely quickly which, in turn, frustrated players due to the speed and severity of the changes. Although many of these issues were unavoidable, having more time to prepare and a more flexible deadline would have allowed us to be more accommodating to testers issues and frustrations"
3,SSIs Dark Sun Online: Crimson Sands,1997,http://www.gamasutra.com/view/feature/3235/postmortem_ssis_dark_sun_online_.php,Dark Sun Online,pc,rpg,online,management-people,team,"SSIs internal resources were severely limited for the project, which in turn made us far too dependent on external resources. On top of that, the contractors should have been better incented to provide quality work. In particular, the external programming group was competent, but not financially-motivated to do the job right. In addition, the external art group needed a great deal of hand-holding, and at the end of the day we still didnt quite get everything we wanted (...) One of the scriptors left in the middle of the project and didnt do a great deal of the work that was necessary for the games underlying routines. We ended up having the two remaining scriptors doing the work of three, with one of them having to redo all of the key global routines"
4,SSIs Dark Sun Online: Crimson Sands,1997,http://www.gamasutra.com/view/feature/3235/postmortem_ssis_dark_sun_online_.php,Dark Sun Online,pc,rpg,online,management-feature,scope,Probably the biggest issues we had during the development of DARK SUN ONLINE were the hacking problems. These problems came as a result of taking a stand-alone game and turning it into a multiplayer game with a peer-to-peer networking system
5,Bungies Myth: The Fallen Lords,1997,http://www.gamasutra.com/view/feature/131691/postmortem_bungies_myth_the_.php,Myth: The Fallen Lords,pc,strategy,online single,production,technical,"One of the complaints most often voiced by players is that the sprite-based units animations are not fluid enough. At the start of the project,when we planned for the number of frames of animation per unit, there was a good deal of uncertainty regarding how much RAM would beconsumed by large texture maps, sounds, and other resources. As things were, it was not uncommon for our landscape textures to reach5MB in size, and certain animations already consumed close to 1MB -- our uncertainties were not unfounded. We erred on the conservativeside. Though we implemented caching schemes that greatly reduced our memory requirements, there wasnt enough time to rerender theunits."
6,Bungies Myth: The Fallen Lords,1997,http://www.gamasutra.com/view/feature/131691/postmortem_bungies_myth_the_.php,Myth: The Fallen Lords,pc,strategy,online single,management-people,team,"On the flip side, it became clear very early in the project that we were understaffed for such an ambitious undertaking. Success or failurerested with a handful of people, and that was extremely stressful. Losing a programmer halfway through development added still morepressure during the final push to get the game out the door. Additional programming tasks had to be shouldered by the remaining developers,who were already also responsible for level design. To alleviate the problem somewhat, we even found it necessary to ask our busy networkadministrator to aid in AI scripting and level design."
7,Bungies Myth: The Fallen Lords,1997,http://www.gamasutra.com/view/feature/131691/postmortem_bungies_myth_the_.php,Myth: The Fallen Lords,pc,strategy,multi single,management-feature,cutting-features,"The biggest announced feature that didnt make it into the final version of Myth was a scripting language that would allow the player to modify elements of the game. We had hoped that user scripts could be written for extensible artificial intelligence, as well as custom formations, net game rules, and map behaviors. We selected Java as a good basis for the Myth scripting language because of its gaining popularity, good information-hiding capabilities, and relatively simple byte code interpretation. After several months of work, early versions of the game loaded, compiled, and ran code from tag files. A few simple scripts worked for presentation purposes, including one that instructed a unit to search the battlefield for the heads of the enemy and collect them in a pile. Unfortunately, when the programmer responsible for the scripting language parted ways with Bungie, we were left with a number of features to implement and no library of user-friendly interfaces with the game code. Given its incomplete state at such a late stage of development, there was little choice but to drop this functionality. (...) With a few exceptions, everything from our list of ""Stuff that Rocks"" made it into the final product. Those features that didnt make it came so close and were so exciting that they definitely deserve mention. Near the end of the project, we started adding support for 3D fire, which would be ignited by explosions and flaming arrows. Our flames were sprite-based 3D particle effects, complete with translucent smoke. Fire could spread across the landscape and move at different rates over the various types of terrain. To our dismay, when a spark in the woods spread into a raging forest fire (as it should), all the translucent smoke sprites slowed even fast, 3Dfx-accelerated machines to a crawl. With little time to rectify the problem, we had to put out the fire, so to speak. We had also planned for wildlife to scamper across the terrain and for birds to fly through the air, breathing life into our empty landscapes. Our attempt at ambient life started with a giant squirrel created by one of our artists. Unfortunately, due to time constraints, we didnt have a chance to create very interesting behaviors for it. Just about the only AI that we had a chance to code simply made the squirrels gravitate towards the players units. We thought it best to drop ambient life rather than subject players to hordes of nuzzling squirrels."
8,DreamForges Sanitarium,1998,https://www.gamasutra.com/view/feature/131706/postmortem_dreamforges_sanitarium.php,Sanitarium,mobile pc,adventure,single,production,design,"Due to the size of the game, each character had a limited number of animation frames. In many cases, this caused the movement to look stiff and unnatural. Looking back on it, we would have preferred smoother animations with more angles - especially for the main character, Max. If we had taken this into account earlier in the project, we might have had an opportunity to fix it. By the time we realized that eight angles looked a little stiff, it was too late. The limited angles also caused problems for players trying to navigate Max through the levels. Hed often get stuck on corners, then either walk in place like some demented mime or frustrate the player with a litany of, Cant go that way."
9,DreamForges Sanitarium,1998,https://www.gamasutra.com/view/feature/131706/postmortem_dreamforges_sanitarium.php,Sanitarium,mobile pc,adventure,single,production,technical,"While long level loading times were an accepted design limitation from the beginning of the project, a system that could better manage memory and allow for streaming of more data from the CD could have benefited the game. The tight schedule left such a system impossible to pursue. A more sophisticated memory-management scheme could have allowed for shorter initial loading times, larger levels, and so on."
10,DreamForges Sanitarium,1998,https://www.gamasutra.com/view/feature/131706/postmortem_dreamforges_sanitarium.php,Sanitarium,mobile pc,adventure,single,management-people,communication,"Sanitarium is a huge game. A lot of people worked on it, meaning additional efforts had to be taken to coordinate and organize everyones labor. Familiarizing people with the vision of the game from an artistic and design point of view was a real challenge. Sometimes, keeping everyone on the same page seemed to be a chore, especially as new people came onto the project.A lot of time was spent getting people to understand the status of the project and the direction in which it was headed. A new artist would ask, Why am I making this one-eyed guy? and wed say, Didnt anyone tell you? We made the mistake of projecting time schedules as if new hires, following a brief training period, would be as competent as our most experienced people. Some of those experienced people were performing administrative and training tasks, and thus werent producing much art. (...) When you have a company of forty to fifty people, its impossible to do anything without rubbing someone the wrong way. Sanitarium was put together by a design team that in part came together naturally and in part was hand-picked by Chris Straka, our head of creative development. Individual employees (usually Chris) designed our previous titles. But we decided that team design would be the way to go. While team design has the potential to fracture the unified vision of a game, the various team members ultimately complement each others interests and goals, lending more depth to the game. This is a nice way of saying, The team argued a lot, but came up with better solutions as a group."
