"","title","year","name","source"
"1","WayForwards A Boy and His Blob",2010,"A Boy and His Blob","https://www.gamasutra.com/view/feature/132659/postmortem_wayforwards_a_boy_and_.php"
"2","NinjaBees A Kingdom for Keflings",2009,"A Kingdom for Keflings","https://www.gamasutra.com/view/feature/132314/postmortem_ninjabees_a_kingdom_.php"
"3","Aaaaa A Reckless Disregard for Gravity",2010,"A Reckless Disregard for Gravity","https://www.gamasutra.com/view/feature/134515/postmortem_dejobaan_games_aaaaa_.php"
"4","Ensemble Studios Age of Empires II: Age of Kings",2000,"Age of Empires II: Age of Kings","http://www.gamasutra.com/view/feature/131844/postmortem_ensemble_studios_age_.php"
"5","Amazia, a CCG for mobile",2016,"Amazia","gamasutra.com/blogs/SinaShahbazi/20180401/315886/Postmortem_Amazia_a_CCG_for_mobile.php"
"6","The Chinese Rooms Amnesia: A Machine for Pigs",2014,"Amnesia: A Machine for Pigs","https://www.gamasutra.com/view/feature/218372/postmortem_the_chinese_rooms_.php"
"7","Indie Postmortem Armadillo Run",2006,"Armadillo Run","https://www.gamasutra.com/view/feature/131137/indie_postmortem_armadillo_run.php"
"8","Stardock and Oxide Games Ashes of the Singularity",2015,"Ashes of the Singularity","gamasutra.com/view/news/270965/Postmortem_Stardock_and_Oxide_Games_Ashes_of_the_Singularity.php"
"9","AuroraBound Postmortem and Sales Figures - A Modest Part-Time Success ",2017,"AuroraBound","https://gamasutra.com/blogs/DanielOByrne/20170814/303637/AuroraBound_Postmortem_and_Sales_Figures__A_Modest_PartTime_Success.php"
"10","Overhaul Games Baldurs Gate Enhanced Edition",2013,"Baldurs Gate Enhanced Edition","https://www.gamasutra.com/view/feature/190432/postmortem_overhaul_games_.php"
"11","Baldurs Gate II The Anatomy of a Sequel",2001,"Baldurs Gate II","https://www.gamasutra.com/view/feature/131493/baldurs_gate_ii_the_anatomy_of_a_.php"
"12","Eutechnyx Big Mutha Truckers",2003,"Big Mutha Truckers","https://www.gamasutra.com/view/feature/131177/postmortem_eutechnyx_big_mutha_.php?page=3"
"13","Bionic Commando Rearmed",2009,"Bionic Commando Rearmed","https://www.gamasutra.com/view/feature/132305/postmortem_capcomgrins_bionic_.php"
"14","2K Boston/2K Australias BioShock",2008,"Bioshock","https://www.gamasutra.com/view/feature/132168/postmortem_2k_boston2k_.php"
"15","Gaijin Games BIT.TRIP BEAT",2009,"Bit.Trip Beat","https://www.gamasutra.com/view/feature/132432/postmortem_gaijin_games_bittrip_.php"
